transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,product_name_master,category_master,price_master,email_masked,revenue
1,642,Troy Mitchell,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Troy60@gmail.com,8385276968,successful,Mixer Grinder,Home Appliances,15000,40a175d94b67c5b138751e12e16c6ea52cdbc0ab22559fe806ac2eeca13b7f76,40500.0
2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,SarahGuerrero@yahoo.com,7147248911,successful,Phone,Electronics,70000,24ebfd46331edd85d7f408a907f7a6b0f75b1204bb7ca18fa01cb69fe9629578,227500.0
3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,SamanthaHull@outlook.com,7415321565,successful,Refrigerator,Home Appliances,65000,a591c2c7e3daa665f8db77a6444c0bdd92d4891127dfdf478b5d89494fe8860a,123500.0
4,794,Gerald Cooper,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,GeraldCooper@gmail.com,9739354201,successful,Sofa,Furniture,80000,48f7c7da0f1149d18db2ff590fcd581d208473f5e9164d4e892a313d7ee3e354,152000.0
5,864,Cameron Black,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,CameronBlack@yahoo.com,9938169477,successful,Mixer Grinder,Home Appliances,15000,f842de5fc6e0b75b586d413b7f3d48e6dc07751f2385c2bd38e503377b43b861,14250.0
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful,Laptop,Electronics,250000,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,812500.0
6,181,Maria Robinson,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed,Laptop,Electronics,250000,35422c1d429d29fd2762fbd57ed7705b3be3f22ec4f67a573b7f5bb5321a12fa,812500.0
7,142,Charles Brown,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Charles7@gmail.com,9980826322,successful,Laptop,Electronics,250000,dd8e7e1212fb3dadf7d88f50f3662b130bb9658196408112c7b3c2319d2f2159,475000.0
8,457,Cathy Harris,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Cathy90@gmail.com,8396657576,successful,Phone,Electronics,70000,50ae2f3087f040cb08fb469964bd35e3fda48e18b7f834d2fa7e982e7593b5ba,66500.0
9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,LindaLara@outlook.com,7476164201,successful,Microwave,Home Appliances,45000,cb4afee4597a3d0dda92f69441f05067c40c08f1f1921e5aba8e8f3f3ca25e1c,94500.0
10,146,Jose Thomas,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,JoseThomas@outlook.com,8398779963,successful,Phone,Electronics,70000,abd7e3dafa4e2a5244ee3c32d8cbf9a1693aa8e69bd4931a3d3be98d6776180f,84000.0
11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,LisaCochran@gmail.com,8354440319,successful,Shoes,Clothing,8000,de0b75129679b50c6e972d740b5d620d1096d3feed03f8ab772ec191ca6ea6e4,22400.0
12,757,Yvette Clark,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,YvetteClark@gmail.com,6025126334,successful,Sofa,Furniture,80000,fb83e27ab1213d4d5e5851d2d484c4c7ccf0287f07aa72434328697fb67265cc,180000.0
13,838,Susan Torres,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,SusanTorres@outlook.com,8776486426,successful,Refrigerator,Home Appliances,65000,d963ec958fe698223197322410b345061770c0599a9638fd33e321690a5f8ae6,211250.0
14,117,Brent Clark,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,BrentClark@gmail.com,9054087598,successful,Refrigerator,Home Appliances,65000,c5f829302296e1c2e9c8ce7f4a59fa56e01d59488851053529fb66a3ad5061dd,260000.0
15,923,George Wilkinson,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,GeorgeWilkinson@gmail.com,6517059222,successful,Refrigerator,Home Appliances,65000,e7f779b76a2b0d1be8c1ec2ccd3f8685316ed57130009eacec74f64ce3ef4362,243750.0
16,765,Eric Gaines,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,EricGaines@yahoo.com,7665911327,successful,Shoes,Clothing,8000,7994dd1de38b1118558ca1ca7d41855a8c0c42f7ff4044447b62896a94acecba,34000.0
17,570,Donald Carter,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Donald21@gmail.com,7944230219,successful,Phone,Electronics,70000,fac4dcc8ab7348aa83d911264d07925b9f733b815ce06bb28547fedb07d981eb,178500.0
18,973,Allen Gilbert,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,AllenGilbert@outlook.com,7543149731,successful,Mixer Grinder,Home Appliances,15000,75bd6f84632b1688ccf56ddc68770b36b05811d27807b5f5fb0655d10e95184c,25500.0
19,786,Jeremiah Simmons,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,JeremiahSimmons@outlook.com,7139465116,successful,Shirt,Clothing,1300,831c6126f8a1de713d8632770c2566155e5c2d0ced549b90d0758edae64c0d1c,4160.0
20,576,Angela Weiss,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,AngelaWeiss@yahoo.com,6433163539,successful,Shoes,Clothing,8000,25a9d1c837f4bf2812bcc3ed8ebb759fe08eeb63c6e02247ad8cc10d86874f62,6800.0
21,256,Nicole Williams,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nicole72@gmail.com,9261161732,successful,Refrigerator,Home Appliances,65000,23f282bd744c97705ad26bcf56a6d8c77539f407c2457adf39ae0014fe17b9b4,185250.0
22,737,Kimberly Lloyd,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,KimberlyLloyd@gmail.com,6053522093,successful,Refrigerator,Home Appliances,65000,f804854d80f8e7b8282b518b85d49a3b04e31e00e852d6b85bd0c5c316d7de7a,156000.0
23,104,Amanda Castillo,108,15000.0,Mixer Grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,AmandaCastillo@yahoo.com,9259539548,successful,Mixer Grinder,Home Appliances,15000,5e6f5536a427d3fbd6ea71f1c859a2295451d6abc5d077109d81857dea0e543a,22500.0
24,799,Stephanie Dunn,108,15000.0,Mixer Grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,StephanieDunn@gmail.com,7485500744,successful,Mixer Grinder,Home Appliances,15000,08194ee6d135d934e7d0321240c43f7fd76a2cb0f9dbcb3c7e8f9c7daf748b66,33750.0
25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Alyssa98@gmail.com,9956125109,successful,Phone,Electronics,70000,e85a7a09d6dca5929883dce5a1217bb242b0d7843835621294dd1c824464795a,49000.0
26,149,Ashley Mejia,106,80000.0,Sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,AshleyMejia@outlook.com,6877766443,successful,Sofa,Furniture,80000,8318efc7a721b12bf05c325351d78424b571cb4130b1f8a2602d30190b28e09c,76000.0
